district,cwd_yr_clim_mm,smd_jja_clim_mm
BN2 3,257.13,119.85
BN2 4,253.79,117.42
BN2 5,255.71,120.31
BN2 6,234.65,112.54
BN2 7,250.63,117.83
BN2 8,248.32,116.58
BN2 9,243.93,118.69
BN20 0,241.18,116.85
BN20 7,217.27,110.8
BN20 8,214.42,108.46
BN20 9,271.81,122.88
BN21 1,256.9,121.7
BN21 2,276.12,125.81
BN21 3,279.38,127.22
BN21 4,250.7,120.9
BN21 9,252.1,121.11
BN22 0,298.0,128.44
BN22 7,297.64,129.61
BN22 8,306.53,131.81
BN22 9,307.55,131.07
BN23 5,293.23,129.19
BN23 6,299.29,129.96
BN23 7,305.99,131.48
BN23 8,311.15,131.96
BN24 5,303.11,129.8
BN24 6,289.26,128.44
BN24 9,302.04,130.21
BN25 1,280.82,126.53
BN25 2,279.83,124.75
BN25 3,278.05,124.46
BN25 4,275.61,125.01
BN25 9,280.78,126.53
BN26 5,290.45,126.27
BN26 6,325.81,132.21
BN26 9,315.33,130.73
BN27 1,310.53,131.21
BN27 2,318.87,131.76
BN27 3,320.82,130.87
BN27 4,296.32,128.74
BN27 9,308.35,130.09
BN3 1,239.43,116.66
BN3 2,242.1,117.32
BN3 3,249.94,118.6
BN3 4,250.0,119.33
BN3 5,251.55,119.04
BN3 6,237.64,114.09
BN3 7,246.78,116.86
BN3 8,245.0,115.49
BN41 1,259.17,121.06
BN41 2,248.25,116.9
BN41 9,259.14,121.06
BN42 4,260.88,121.05
BN43 5,261.04,119.55
BN43 6,262.78,120.64
BN43 9,269.63,122.55
BN44 3,297.43,125.04
BN45 7,259.76,116.43
BN5 0,315.17,127.23
BN5 9,316.21,127.76
BN6 0,315.42,125.23
BN6 8,279.51,120.6
BN6 9,320.7,126.84
BN7 1,283.03,121.14
BN7 2,309.54,126.61
BN7 3,270.05,119.37
BN7 9,313.86,127.31
BN8 4,307.45,125.93
BN8 5,322.18,128.65
BN8 6,328.61,131.48
BN9 0,291.64,126.41
BN9 1,290.1,126.68
BN9 9,279.09,123.71
BR1 1,348.75,135.15
BR1 2,346.82,134.99
BR1 3,356.58,136.96
BR1 4,349.79,135.68
BR1 5,355.33,136.89
BR1 9,348.75,135.15
BR2 0,349.66,135.47
BR2 6,315.57,128.36
BR2 7,347.13,135.03
BR2 8,351.66,135.61
BR2 9,356.86,136.57
BR3 1,358.2,137.09
BR3 3,353.19,135.74
BR3 4,361.9,137.34
BR3 5,346.29,134.93
BR3 6,348.45,135.13
BR3 9,361.43,137.42
BR4 0,347.84,135.12
BR4 4,330.57,132.0
BR4 9,339.46,133.7
BR5 1,344.85,134.37
BR5 2,357.54,136.48
BR5 3,379.48,139.56
BR5 4,352.01,134.42
BR6 0,350.03,134.8
BR6 1,354.37,135.4
BR6 6,329.55,130.77
BR6 7,322.73,129.38
BR6 8,337.74,132.78
